"logFC" "logCPM" "F" "PValue"
"jg4737.t1" 0.468927123873063 7.54004782971826 2.25052955322957 0.142636149693527
"jg22808.t1" 0.227706936551693 4.81361085645209 0.693257838571501 0.894310062276673
"jg17767.t1" -0.11176738216707 6.21664393805569 0.161885383198464 0.689900708192844
"jg18968.t1" 0.383043108844304 5.1708981626048 1.89231897352282 0.177778211270741
"jg9649.t1" 2.2726826286734 13.9812721720523 26.4187345111001 1.08080558047588e-05
"jg7663.t1" 0.569221082682035 5.38391573484223 4.20226336491487 0.048006112717405
"jg3600.t1" -0.0426732829481814 5.32302642919442 0.0441930628772781 0.83472746655175
"jg18882.t1" 0.142719126356275 5.19831145704065 0.540699492619381 0.878788321386387
"jg22250.t1" -0.132931572848563 9.33890423062975 0.354148629185327 0.555645107262574
"jg4505.t1" 0.371486707880943 6.61792750110102 3.07596247300107 0.0883095908192463
"jg20163.t1" 0.289870699767765 6.77998871722944 3.05565846910455 0.609579889719954
"jg21544.t1" -0.0686389843590769 5.25099435352303 0.118486828002797 0.732764095410554
"jg9652.t1" 1.30437749853667 13.9474745826397 10.5394073346239 0.00259608657061593
"jg7395.t1" 0.148907233727146 5.24573402371352 0.45431829955175 0.971067672678109
"jg7569.t1" 0.630520862726226 5.37699624416139 5.13053199826192 0.0298776835226794
"jg3315.t1" 0.161630151798372 5.58588997985782 0.32228023668719 0.573904808886326
"jg12883.t1" -0.411088371803874 8.00351276416212 1.90939950283741 0.175884282567088
"jg21755.t1" 0.261942121023498 5.79628958399167 0.53117660064579 0.471015582072981
"jg9731.t1" -3.59665940723555 8.82494776954147 58.0981708771976 6.58551066494363e-09
"jg20284.t1" 0.393585547845091 6.56549199939488 4.5257780843283 0.310739361248741
"jg14912.t1" 0.337760799922005 6.08185947104299 0.841381599818113 0.365349548106473
"jg13436.t1" -0.118622336823268 6.58681460006611 0.19011189621328 0.665531019199957
"jg10772.t1" 0.379003126313134 5.21145301013835 2.22654538214053 0.144716297982222
"jg17277.t1" -0.405294159529628 6.787756840168 2.06850505650052 0.15934999778141
"jg18068.t1" 0.11896483784483 7.32973337988317 0.375573619726306 0.543987747376317
"jg16403.t1" 0.298953921166489 6.80650829539338 2.77205320338847 0.104951052652598
"jg5887.t1" -0.519184679082804 6.58013764117128 2.64882209223703 0.112697265885158
"jg19123.t1" 0.209517855477512 6.07363244505338 1.14129674318717 0.641836342747244
"jg18015.t1" -0.0914690164056304 6.10318772430128 0.221769444684797 0.640649535512651
"jg21141.t1" 0.315264422407004 5.97918181274641 1.66911259453363 0.20493755740341
"jg12521.t1" 0.0288357573293892 6.16616221478375 0.032508337203396 0.857968041906214
"jg9648.t1" -3.41796661257839 11.1597885796191 52.7128648667542 1.8872234339949e-08
"jg18955.t1" 0.0978581638667125 8.00964393320904 0.615687648744076 0.96179583972848
"jg7979.t1" 0.865841006425293 5.48382637384308 6.90117044276622 0.012746490346215
"jg21248.t1" 0.427659511449043 6.14330045578599 2.86764500420248 0.0993599096778512
"jg18402.t1" -0.524985143477397 9.41119137744184 7.51087037190819 0.00963265146125999
"jg22926.t1" 0.050345080773663 5.1557152966944 0.033429559279288 0.855992283546432
"jg9645.t1" -3.3595828489171 19.3665795252371 47.4632367357363 5.6276381777951e-08
"jg21369.t1" 0.266820998609455 4.89649428337605 0.758863178247746 0.389686828415924
"jg22105.t1" 0.145748926880106 5.33789579527271 0.379686977912363 0.895383244335813
"jg6744.t1" 0.0933875801132027 6.42147034084472 0.215474433792854 0.645416536900622
"jg19467.t1" 0.475399492913314 6.24909940204642 3.48672648655217 0.070350628335446
"jg3139.t1" 0.400773832235004 6.38708459895539 5.75604111376912 0.0219559477907652
"jg21441.t1" 0.501814218140164 5.39300032423017 2.82439311188631 0.101846523779018
"jg12577.t1" 0.384818362345302 5.82709611060423 2.20099373301008 0.146971599951664
"jg23029.t1" 0.133388609365078 5.66828073638125 0.369534054767358 0.803050588009907
"jg17178.t1" 0.0527192385104852 5.81339957228745 0.0695103112641241 0.793614458093432
"jg21139.t1" 0.168558224537933 7.18304911492983 0.531846253680851 0.470738237944895
"jg13429.t1" 0.318085679357528 6.96128751637098 5.25637088740698 0.0280628080631445
"jg18241.t1" 0.3839306897041 8.35593067858871 10.0134877278702 0.00323199209551873
