"logFC" "logCPM" "LR" "PValue"
"jg17588.t1" -1.87100538485197 3.37853317173014 10.7511119672571 0.00104216681788693
"jg19560.t1" 0.0150790767623771 6.39660607362659 0.00118722645498792 0.972513406690507
"jg5731.t1" -1.09378158833946 5.57849875232996 6.60436962028731 0.0101728811611012
"jg5158.t1" 0.431823656573241 7.48780981458565 0.85755981742189 0.354422461452065
"jg26469.t1" -0.829518353590248 4.42884476867468 3.11931703727085 0.0773692047478296
"jg3847.t1" 0.575741078986059 5.42743087782754 1.82868252753885 0.176283238044746
"jg17627.t1" -0.729952988769684 2.38801986894669 1.29213855640666 0.255654215713815
"jg22099.t1" -0.768224962250923 6.13440722990211 3.15742816012637 0.0755821684771347
"jg21424.t1" 0.103809743264287 6.93905247712941 0.0524993297284908 0.818769958316272
"jg21892.t1" -0.724708628464216 4.51842412480868 2.4483665315099 0.117647238622015
"jg26938.t1" 0.665307143502157 5.6558878883959 2.51869370060585 0.112503746828332
"jg19830.t1" -0.883391115499976 3.86327249993725 2.99716588921595 0.0834103090734305
"jg8131.t1" -0.366629375002417 3.59970644506998 0.480258148971977 0.488305409017327
"jg23160.t1" 0.150525551161148 6.81852751420514 0.111737271385861 0.738174879906976
"jg26634.t1" 1.53523925003372 -0.112286004250013 4.47562918091439 0.034381541332623
"jg8112.t1" -1.99631300315895 8.08494203422954 16.3206607862932 5.34776993075149e-05
"jg6903.t1" -0.0425589250662293 -0.550446145785147 0.00327835698818024 0.954340522272193
"jg22371.t1" 1.33825107558551 5.81019601497149 9.859799814883 0.00168929486240187
"jg11420.t1" -0.647216961601413 5.42893256606812 2.30065048053878 0.129319831126176
"jg18634.t1" -0.103169067210437 2.26003236061026 0.0256501210078466 0.872757754348613
"jg4224.t1" 0.461821937952356 2.0235065396569 0.495671982827453 0.481408013517282
"jg20149.t1" -0.263283639110532 4.3635746768066 0.313931605315453 0.575277556726691
"jg14819.t1" -0.450618723589766 1.06964713177283 0.410798811604645 0.521564338380153
"jg13858.t1" -0.805089146232016 4.25695688106064 2.81421216005262 0.0934327588563023
"jg21197.t1" -0.829776666980269 7.71421434241551 3.06695405083434 0.0798990471211184
"jg11143.t1" -0.192355364289098 5.18960706014209 0.198237180151018 0.656147521705172
"jg11433.t1" 0.73706180261485 5.53297243717596 3.03148391819377 0.0816632980006458
"jg4408.t1" -0.687397481522855 4.04132854838957 1.93976283919562 0.163694286964864
"jg6235.t1" -3.52248032270299 2.51437739622869 23.9376769385543 9.95051759126801e-07
"jg12872.t1" -0.364675931464517 5.46299123778283 0.738959232451052 0.389994477153982
"jg8472.t1" 5.55237534892699 1.81455777855216 46.0082559400915 1.17755699221763e-11
"jg13085.t1" -0.533502440120357 5.17079298630737 1.51127569904374 0.218944529175615
"jg16258.t1" -0.19004738032013 6.81946490806291 0.178016325523667 0.673083550435347
"jg27174.t1" 1.40051779097542 0.147250388317862 3.80368613939607 0.0511398825499519
"jg14953.t1" -0.237159262060295 6.55212019284058 0.286902406640909 0.592212413248446
"jg22548.t1" -0.172648674706745 5.71175805043749 0.17174898794309 0.678562081628831
"jg23016.t1" 1.45159925804845 5.46665375398142 11.3076057481115 0.000771902433228395
"jg13693.t1" 0.530363957448959 6.23710383169144 1.49454061301104 0.221513292375201
"jg12978.t1" 0.301260969340532 4.57732851996622 0.435931191749443 0.509092861983468
"jg11107.t1" -0.26726821761798 6.56392392514594 0.363800518299854 0.546403063810277
"jg23183.t1" 0.243126837848248 5.57747772285338 0.334701631394864 0.562903624817082
"jg14910.t1" -1.5841873187466 3.9095343798333 9.40658808654758 0.00216207172801393
"jg2808.t1" 0.704932201230964 6.14516808800763 2.66513631919933 0.102569036680643
"jg13138.t1" 1.86431847509277 -0.224375345278868 6.56347016533926 0.0104093182848994
"jg20807.t1" 0.29816728497917 5.32474578195433 0.485671469920575 0.48586454261599
"jg15522.t1" 1.97587494502559 6.27528613347081 19.3222488563425 1.10412275821538e-05
