jg11419.t1	GO:0007264
jg11420.t1	GO:0008180
jg11420.t1	GO:0010387
jg11421.t1	GO:0016021
jg11424.t1	GO:0022857
jg11424.t1	GO:0055085
jg11425.t1	GO:0046872
jg11427.t1	GO:0006508
jg11427.t1	GO:0008236
jg11430.t1	GO:0005515
jg11432.t1	GO:0008168
jg11435.t1	GO:0016021
jg11435.t1	GO:0022857
jg11435.t1	GO:0055085
jg1144.t1	GO:0006508
jg1144.t1	GO:0008234
jg11447.t1	GO:0004930
jg11447.t1	GO:0007186
jg11447.t1	GO:0016021
jg11448.t1	GO:0004930
jg11448.t1	GO:0007186
jg11448.t1	GO:0016021
jg1145.t1	GO:0015074
jg11451.t1	GO:0005515
jg11452.t1	GO:0015078
jg11452.t1	GO:0033179
jg11452.t1	GO:1902600
jg11454.t1	GO:0005506
jg11454.t1	GO:0008610
jg11454.t1	GO:0016491
jg11454.t1	GO:0055114
jg11456.t1	GO:0016021
jg11459.t1	GO:0004518
jg11466.t1	GO:0005524
jg11468.t1	GO:0004129
jg11471.t1	GO:0008270
jg11472.t1	GO:0005515
jg11473.t1	GO:0003677
jg11473.t1	GO:0005634
jg11473.t1	GO:0006260
jg11474.t1	GO:0003676
jg11474.t1	GO:0003677
jg11474.t1	GO:0005634
jg11474.t1	GO:0006260
jg11475.t1	GO:0005509
jg11476.t1	GO:0004672
jg11476.t1	GO:0005524
jg11476.t1	GO:0006468
jg11476.t1	GO:0035091
jg11477.t1	GO:0005525
jg11479.t1	GO:0003723
jg11479.t1	GO:0003735
jg11479.t1	GO:0005840
jg11479.t1	GO:0006412
jg11483.t1	GO:0008289
jg11484.t1	GO:0005515
jg11487.t1	GO:0003755
jg11494.t1	GO:0005549
jg11498.t1	GO:0003924
jg11498.t1	GO:0005525
jg11507.t1	GO:0006508
jg11507.t1	GO:0008236
jg1152.t1	GO:0046983
jg11522.t1	GO:0005737
jg11523.t1	GO:0046872
jg1153.t1	GO:0006508
jg1153.t1	GO:0008234
jg11546.t1	GO:0046983
jg11548.t1	GO:0003676
jg11554.t1	GO:0004725
jg11554.t1	GO:0006470
jg11555.t1	GO:0004252
jg11555.t1	GO:0006508
jg11561.t1	GO:0003723
jg11561.t1	GO:0004809
jg11561.t1	GO:0008033
jg11565.t1	GO:0016021
jg11565.t1	GO:0022857
jg11565.t1	GO:0055085
jg11567.t1	GO:0003676
jg11574.t1	GO:0022857
jg11574.t1	GO:0055085
jg11581.t1	GO:0005515
jg11585.t1	GO:0031083
jg11586.t1	GO:0003779
jg11589.t1	GO:0004672
jg11589.t1	GO:0006468
jg11590.t1	GO:0005515
jg11595.t1	GO:0009166
jg11595.t1	GO:0016787
jg11600.t1	GO:0016021
jg11602.t1	GO:0001510
jg11602.t1	GO:0008168
jg11602.t1	GO:0009452
jg11603.t1	GO:0001919
jg11603.t1	GO:0007040
jg11603.t1	GO:0016197
jg11603.t1	GO:0031902
jg11603.t1	GO:0032008
jg11603.t1	GO:0042632
jg11603.t1	GO:0043410
jg11603.t1	GO:0045121
jg11603.t1	GO:0071230
jg11603.t1	GO:0071986
jg11604.t1	GO:0016020
jg11605.t1	GO:0005515
jg11605.t1	GO:0007165
jg11607.t1	GO:0016791
jg11608.t1	GO:0003676
jg11608.t1	GO:0003677
jg11608.t1	GO:0003678
jg11608.t1	GO:0004386
jg11608.t1	GO:0005524
jg11608.t1	GO:0006139
jg11608.t1	GO:0016818
jg11610.t1	GO:0016491
jg11610.t1	GO:0055114
jg11614.t1	GO:0005515
jg11615.t1	GO:0006888
jg11615.t1	GO:0016021
jg11618.t1	GO:0016614
jg11618.t1	GO:0050660
jg11618.t1	GO:0055114
jg11621.t1	GO:0016746
jg11622.t1	GO:0005634
jg11622.t1	GO:0006302
jg11630.t1	GO:0004970
jg11630.t1	GO:0015276
jg11630.t1	GO:0016020
jg11631.t1	GO:0003924
jg11631.t1	GO:0005525
jg1164.t1	GO:0015074
jg11646.t1	GO:0003677
jg11647.t1	GO:0006614
jg11647.t1	GO:0008312
jg11647.t1	GO:0048500
jg1165.t1	GO:0006508
jg1165.t1	GO:0008234
jg11650.t1	GO:0046983
jg1166.t1	GO:0015074
jg11664.t1	GO:0005524
jg11664.t1	GO:0005975
jg11664.t1	GO:0016773
jg11681.t1	GO:0004252
jg11681.t1	GO:0006508
jg11688.t1	GO:0000166
jg11688.t1	GO:0004812
jg11688.t1	GO:0005524
jg11688.t1	GO:0006418
jg1169.t1	GO:0004590
jg1169.t1	GO:0006207
jg11691.t1	GO:0003700
jg11691.t1	GO:0006355
jg11692.t1	GO:0000166
jg11692.t1	GO:0004812
jg11692.t1	GO:0005524
jg11692.t1	GO:0006418
jg11693.t1	GO:0001510
jg11693.t1	GO:0008168
jg11693.t1	GO:0009452
jg11696.t1	GO:0001510
jg11696.t1	GO:0008168
jg11696.t1	GO:0009452
jg11697.t1	GO:0006812
jg11697.t1	GO:0008324
jg11697.t1	GO:0016021
jg11697.t1	GO:0055085
jg11698.t1	GO:0016787
jg1170.t1	GO:0003824
jg1170.t1	GO:0051536
jg11703.t1	GO:0003676
jg11710.t1	GO:0003677
jg11710.t1	GO:0005515
jg11711.t1	GO:0046983
jg11723.t1	GO:0008272
jg11723.t1	GO:0015116
jg11723.t1	GO:0016021
jg11723.t2	GO:0008272
